Uf,Tipo_crime,Ocorrencias,Data
Acre,Estupro,31,2022-01-01
Acre,Furto de veículo,50,2022-01-01
Acre,Homicídio doloso,10,2022-01-01
Acre,Lesão corporal seguida de morte,1,2022-01-01
Acre,Roubo a instituição financeira,0,2022-01-01
Acre,Roubo de carga,0,2022-01-01
Acre,Roubo de veículo,72,2022-01-01
Acre,Roubo seguido de morte (latrocínio),0,2022-01-01
Acre,Tentativa de homicídio,22,2022-01-01
Acre,Estupro,34,2022-02-01
Acre,Furto de veículo,55,2022-02-01
Acre,Homicídio doloso,10,2022-02-01
Acre,Lesão corporal seguida de morte,0,2022-02-01
Acre,Roubo a instituição financeira,0,2022-02-01
Acre,Roubo de carga,0,2022-02-01
Acre,Roubo de veículo,48,2022-02-01
Acre,Roubo seguido de morte (latrocínio),2,2022-02-01
Acre,Tentativa de homicídio,18,2022-02-01
Acre,Estupro,57,2022-03-01
Acre,Furto de veículo,44,2022-03-01
Acre,Homicídio doloso,21,2022-03-01
Acre,Lesão corporal seguida de morte,0,2022-03-01
Acre,Roubo a instituição financeira,0,2022-03-01
Acre,Roubo de carga,0,2022-03-01
Acre,Roubo de veículo,68,2022-03-01
Acre,Roubo seguido de morte (latrocínio),0,2022-03-01
Acre,Tentativa de homicídio,37,2022-03-01
Acre,Estupro,28,2022-04-01
Acre,Furto de veículo,40,2022-04-01
Acre,Homicídio doloso,21,2022-04-01
Acre,Roubo de veículo,52,2022-04-01
Acre,Tentativa de homicídio,27,2022-04-01
Acre,Estupro,45,2022-05-01
Acre,Furto de veículo,29,2022-05-01
Acre,Homicídio doloso,23,2022-05-01
Acre,Roubo de veículo,61,2022-05-01
Acre,Tentativa de homicídio,31,2022-05-01
Acre,Estupro,45,2022-06-01
Acre,Furto de veículo,50,2022-06-01
Acre,Homicídio doloso,12,2022-06-01
Acre,Roubo de veículo,50,2022-06-01
Acre,Roubo seguido de morte (latrocínio),1,2022-06-01
Acre,Tentativa de homicídio,22,2022-06-01
Acre,Estupro,62,2022-07-01
Acre,Furto de veículo,44,2022-07-01
Acre,Homicídio doloso,20,2022-07-01
Acre,Roubo de veículo,49,2022-07-01
Acre,Tentativa de homicídio,39,2022-07-01
Acre,Estupro,47,2022-08-01
Acre,Furto de veículo,34,2022-08-01
Acre,Homicídio doloso,9,2022-08-01
Acre,Roubo de veículo,47,2022-08-01
Acre,Roubo seguido de morte (latrocínio),1,2022-08-01
Acre,Tentativa de homicídio,32,2022-08-01
Acre,Estupro,59,2022-09-01
Acre,Furto de veículo,33,2022-09-01
Acre,Homicídio doloso,16,2022-09-01
Acre,Roubo de veículo,57,2022-09-01
Acre,Roubo seguido de morte (latrocínio),1,2022-09-01
Acre,Tentativa de homicídio,26,2022-09-01
Alagoas,Estupro,57,2022-01-01
Alagoas,Furto de veículo,160,2022-01-01
Alagoas,Homicídio doloso,102,2022-01-01
Alagoas,Lesão corporal seguida de morte,0,2022-01-01
Alagoas,Roubo a instituição financeira,0,2022-01-01
Alagoas,Roubo de carga,1,2022-01-01
Alagoas,Roubo de veículo,130,2022-01-01
Alagoas,Roubo seguido de morte (latrocínio),1,2022-01-01
Alagoas,Tentativa de homicídio,47,2022-01-01
Alagoas,Estupro,45,2022-02-01
Alagoas,Furto de veículo,144,2022-02-01
Alagoas,Homicídio doloso,85,2022-02-01
Alagoas,Lesão corporal seguida de morte,0,2022-02-01
Alagoas,Roubo a instituição financeira,0,2022-02-01
Alagoas,Roubo de carga,0,2022-02-01
Alagoas,Roubo de veículo,138,2022-02-01
Alagoas,Roubo seguido de morte (latrocínio),2,2022-02-01
Alagoas,Tentativa de homicídio,55,2022-02-01
Alagoas,Estupro,81,2022-03-01
Alagoas,Furto de veículo,162,2022-03-01
Alagoas,Homicídio doloso,95,2022-03-01
Alagoas,Lesão corporal seguida de morte,1,2022-03-01
Alagoas,Roubo a instituição financeira,0,2022-03-01
Alagoas,Roubo de carga,0,2022-03-01
Alagoas,Roubo de veículo,132,2022-03-01
Alagoas,Roubo seguido de morte (latrocínio),2,2022-03-01
Alagoas,Tentativa de homicídio,46,2022-03-01
Alagoas,Estupro,73,2022-04-01
Alagoas,Furto de veículo,135,2022-04-01
Alagoas,Homicídio doloso,107,2022-04-01
Alagoas,Roubo de carga,1,2022-04-01
Alagoas,Roubo de veículo,114,2022-04-01
Alagoas,Roubo seguido de morte (latrocínio),4,2022-04-01
