ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2024;01;AC;ACRELÂNDIA                         ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Furto de Arma de Fogo                                                     ;N;1
2024;01;AC;ACRELÂNDIA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9x19mm                                            ;Furto de Arma de Fogo                                                     ;N;1
2024;01;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Furto de Arma de Fogo                                                     ;S;1
2024;01;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.45 ACP                                           ;Apostilada no Exercito                                                    ;S;1
2024;01;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo                                               ;S;1
2024;01;AC;RIO BRANCO                         ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Furto de Arma de Fogo                                                     ;S;1
2024;01;AC;SENADOR GUIOMARD                   ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;20                                                ;Furto de Arma de Fogo                                                     ;N;1
2024;01;AL;ARAPIRACA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2024;01;AL;ARAPIRACA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;2
2024;01;AL;MACEIÓ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;S;2
2024;01;AL;MACEIÓ                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Recuperação de Arma de Fogo                                               ;S;1
2024;01;AL;MACEIÓ                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Furto de Arma de Fogo                                                     ;S;1
2024;01;AL;MARECHAL DEODORO                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo                                            ;N;1
2024;01;AL;PALMEIRA DOS ÍNDIOS                ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreensão de Arma de Fogo                                                 ;N;2
2024;01;AL;SATUBA                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;6,35mm                                            ;Extravio/Perda de Arma de Fogo                                            ;N;1
2024;01;AM;GUAJARÁ                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Extravio/Perda de Arma de Fogo                                            ;N;1
2024;01;AM;MANAUS                             ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Apreensão de Arma de Fogo                                                 ;S;1
2024;01;AM;MANAUS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Campanha do Desarmamento                                                  ;S;1
2024;01;AP;MACAPÁ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento                                                  ;S;1
2024;01;BA;FEIRA DE SANTANA                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2024;01;BA;PORTO SEGURO                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
