,MUNICIPIO
0,ACRELÂNDIA
1,RIO BRANCO
2,SENADOR GUIOMARD
3,ARAPIRACA
4,MACEIÓ
5,MARECHAL DEODORO
6,PALMEIRA DOS ÍNDIOS
7,SATUBA
8,GUAJARÁ
9,MANAUS
10,MACAPÁ
11,FEIRA DE SANTANA
12,PORTO SEGURO
13,SALVADOR
14,SANTA CRUZ CABRÁLIA
15,SAPEAÇU
16,TEIXEIRA DE FREITAS
17,AMONTADA
18,COREAÚ
19,CRATO
20,FORTALEZA
21,MARACANAÚ
22,PEDRA BRANCA
23,BRASÍLIA
24,BOA ESPERANÇA
25,CACHOEIRO DE ITAPEMIRIM
26,CARIACICA
27,CONCEIÇÃO DO CASTELO
28,DOMINGOS MARTINS
29,SERRA
30,SÃO GABRIEL DA PALHA
31,VILA VELHA
32,ALEXÂNIA
33,ANÁPOLIS
34,APARECIDA DE GOIÂNIA
35,BARRO ALTO
36,CRIXÁS
37,FORMOSA
38,GOIÂNIA
39,LUZIÂNIA
40,RIANÁPOLIS
41,SENADOR CANEDO
42,TRINDADE
43,VALPARAÍSO DE GOIÁS
44,BARRA DO CORDA
45,CHAPADINHA
46,IMPERATRIZ
47,LAJEADO NOVO
48,MATÕES
49,TIMON
50,TUNTUM
51,BELO HORIZONTE
52,CONFINS
53,CURVELO
54,FRONTEIRA DOS VALES
55,GURINHATÃ
56,IBIRITÉ
57,IGARAPÉ
58,ITUIUTABA
59,MANHUAÇU
60,MONTES CLAROS
61,NOVA LIMA
62,PEDRO LEOPOLDO
63,PIAU
64,POUSO ALEGRE
65,RIBEIRÃO DAS NEVES
66,SACRAMENTO
67,SETE LAGOAS
68,TOCANTINS
69,UBERABA
70,UBERLÂNDIA
71,CAMPO GRANDE
72,ARIPUANÃ
73,CAMPO VERDE
74,COLNIZA
75,CUIABÁ
76,MARCELÂNDIA
77,NOVA BANDEIRANTES
78,NOVA GUARITA
79,NOVA MUTUM
80,NOVA SANTA HELENA
81,RONDONÓPOLIS
82,SANTA CARMEM
83,SORRISO
84,TANGARÁ DA SERRA
85,ANANINDEUA
86,ANAPU
87,BELÉM
88,BENEVIDES
89,NOVO PROGRESSO
90,SANTA MARIA DAS BARREIRAS
91,SANTARÉM
92,CABEDELO
93,CAMPINA GRANDE
94,GURINHÉM
95,JOÃO PESSOA
96,LUCENA
97,MULUNGU
98,PIANCÓ
99,PITIMBU
100,SÃO FRANCISCO
101,CAMARAGIBE
102,CARUARU
103,ESCADA
104,OLINDA
105,RECIFE
106,TIMBAÚBA
107,VICÊNCIA
108,VITÓRIA DE SANTO ANTÃO
109,CORRENTE
110,FLORIANO
111,PORTO
112,TERESINA
113,ÁGUA BRANCA
114,AMPÉRE
115,APUCARANA
116,CURITIBA
117,DOIS VIZINHOS
118,FAZENDA RIO GRANDE
119,FOZ DO IGUAÇU
120,GUARAPUAVA
121,LOANDA
122,LONDRINA
123,MEDIANEIRA
124,PITANGA
125,SÃO JORGE D´OESTE
126,SÃO JOÃO DO IVAÍ
127,SÃO MIGUEL DO IGUAÇU
128,TURVO
129,ANGRA DOS REIS
130,ARARUAMA
131,CAMPOS DOS GOYTACAZES
132,DUQUE DE CAXIAS
133,LAJE DO MURIAÉ
134,MAGÉ
135,NITERÓI
136,NOVA IGUAÇU
137,PIRAÍ
138,RIO DE JANEIRO
139,MOSSORÓ
140,NATAL
141,PARAZINHO
142,PARNAMIRIM
143,SÃO GONÇALO DO AMARANTE
144,CACOAL
145,CEREJEIRAS
146,CUJUBIM
147,JI-PARANÁ
148,MACHADINHO D´OESTE
149,PORTO VELHO
150,ALEGRETE
151,ALVORADA
152,ARARICÁ
153,ARATIBA
154,ARROIO DO TIGRE
155,AUGUSTO PESTANA
156,BAGÉ
157,BALNEÁRIO PINHAL
158,BARRACÃO
159,BARROS CASSAL
160,BENTO GONÇALVES
161,BOM PRINCÍPIO
162,BOQUEIRÃO DO LEÃO
163,CACHOEIRA DO SUL
164,CACHOEIRINHA
165,CAMAQUÃ
166,CAMBARÁ DO SUL
167,CAMPINA DAS MISSÕES
168,CANDELÁRIA
169,CANELA
170,CANOAS
171,CAPÃO DA CANOA
172,CARAZINHO
173,CARLOS BARBOSA
174,CAXIAS DO SUL
175,COLORADO
176,COTIPORÃ
177,CRUZ ALTA
178,DOM FELICIANO
179,DOM PEDRITO
180,ELDORADO DO SUL
181,ENCRUZILHADA DO SUL
182,ERECHIM
